status_muestra,peso_muestra,status_mineral,peso_mineral,status_vegetal,peso_vegetal,unit
ST,206.7,US,56.8,US,26.5,kg
US,230.1,US,94.9,US,30.3,kg
ST,258.0,ST,96.2,ST,39.5,kg
US,275.6,US,68.0,ST,25.2,kg
ST,303.2,ST,99.3,US,29.0,kg
ST,239.5,ST,67.0,ST,37.1,kg
US,235.3,ST,72.5,US,44.1,kg
ST,312.0,US,88.8,US,41.9,kg
US,304.9,ST,75.6,US,43.0,kg
US,273.0,US,103.4,ST,38.6,kg
ST,306.6,ST,88.5,US,46.2,kg
US,289.7,ST,89.6,ST,36.0,kg
US,266.0,US,102.4,ST,49.6,kg
ST,254.6,ST,118.1,US,49.5,kg
US,279.7,US,98.6,ST,42.4,kg
US,306.6,ST,108.8,ST,46.1,kg
US,315.8,US,109.4,US,50.7,kg
ST,272.0,ST,131.1,ST,38.8,kg
ST,301.6,ST,118.4,US,41.5,kg
ST,326.8,US,124.8,US,46.1,kg
ST,322.9,ST,116.2,ST,42.3,kg
US,312.6,ST,132.9,ST,46.6,kg
US,331.1,ST,132.8,US,49.9,kg
US,309.5,US,136.0,US,58.2,kg
ST,304.5,US,143.1,ST,51.8,kg
ST,323.5,ST,147.9,ST,57.5,kg
US,321.6,US,143.9,ST,53.6,kg
ST,352.4,ST,147.3,US,57.7,kg
US,322.9,US,152.2,ST,53.1,kg
ST,354.6,ST,158.0,US,56.0,kg
US,344.7,US,153.2,ST,60.9,kg
US,352.4,US,147.0,ST,60.2,kg
US,350.4,US,158.8,ST,65.8,kg
US,349.2,US,165.3,US,60.1,kg
ST,354.1,ST,163.1,US,66.3,kg
ST,342.9,US,158.4,US,68.3,kg
US,347.3,ST,165.2,ST,66.2,kg
US,360.9,ST,174.4,US,70.0,kg
ST,368.0,US,167.5,US,68.4,kg
ST,371.4,US,176.6,ST,70.5,kg
ST,380.9,US,179.5,ST,68.7,kg
ST,379.4,US,176.1,US,69.6,kg
US,371.5,ST,181.7,US,71.8,kg
ST,381.4,US,185.9,US,73.1,kg
ST,388.1,US,188.7,US,73.8,kg
US,387.0,ST,189.5,ST,74.9,kg
ST,390.3,US,191.4,ST,77.0,kg
ST,394.6,US,195.6,US,77.5,kg
ST,396.6,ST,197.4,US,79.0,kg
ST,400.0,ST,200.0,ST,80.0,kg
