Hacienda;   Nombre Hacienda;Suerte
114;Cantarrana;00
114;Cantarrana;00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
114;Cantarrana;00
137;Casa de Teja (Vélez Pardo);00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
114;Cantarrana;00
114;Cantarrana;00
114;Cantarrana;00
114;Cantarrana;00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
137;Casa de Teja (Vélez Pardo);00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B52;La Servia;00
B96;La Fortaleza;01
B96;La Fortaleza;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
182;El Pailón;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
182;El Pailón;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
196;Alsacia Borrero;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
B96;La Fortaleza;01
