status_muestra,peso_muestra,status_mineral,peso_mineral,status_vegetal,peso_vegetal,unit
ST,298.0,ST,23.5,ST,8.4,kg
US,345.6,ST,29.3,ST,5.1,kg
ST,230.9,US,44.8,ST,9.9,kg
ST,342.1,ST,10.5,ST,14.7,kg
US,344.3,ST,13.0,ST,8.3,kg
ST,348.1,ST,27.7,ST,7.7,kg
ST,307.2,ST,37.3,ST,9.5,kg
ST,217.8,US,49.0,ST,12.3,kg
ST,312.3,ST,21.5,ST,13.6,kg
ST,326.4,ST,28.8,ST,6.1,kg
US,332.8,ST,43.3,US,12.4,kg
ST,210.8,ST,35.5,ST,9.5,kg
ST,315.0,US,11.2,ST,7.3,kg
ST,316.3,ST,13.6,US,8.7,kg
ST,335.8,ST,27.7,ST,14.4,kg
ST,301.8,US,40.2,ST,2.2,kg
ST,338.8,US,28.1,ST,9.4,kg
ST,294.4,US,21.4,US,2.5,kg
ST,268.3,ST,47.0,ST,6.7,kg
ST,265.8,ST,29.1,ST,12.7,kg
ST,300.9,ST,38.0,US,5.2,kg
ST,246.2,ST,36.0,ST,9.6,kg
ST,230.2,ST,31.5,ST,6.9,kg
ST,302.8,ST,10.6,ST,13.7,kg
ST,322.9,ST,29.6,ST,6.1,kg
ST,244.0,ST,30.7,ST,10.0,kg
ST,204.1,ST,48.2,US,10.6,kg
ST,264.3,ST,30.3,ST,10.5,kg
ST,243.2,ST,37.3,ST,7.5,kg
ST,327.9,ST,37.4,ST,6.7,kg
ST,303.5,ST,12.1,ST,5.9,kg
ST,345.4,ST,16.4,ST,6.2,kg
ST,263.4,ST,18.6,ST,8.2,kg
ST,218.7,ST,45.4,ST,13.3,kg
ST,309.8,ST,28.1,US,13.8,kg
ST,268.1,ST,10.4,ST,11.3,kg
ST,293.3,ST,43.5,ST,3.0,kg
ST,345.8,ST,49.4,ST,7.5,kg
ST,292.5,US,25.1,ST,5.1,kg
US,249.0,ST,14.3,ST,2.1,kg
ST,323.9,ST,20.6,ST,12.8,kg
ST,315.7,ST,43.7,ST,14.4,kg
ST,338.3,ST,43.7,ST,7.5,kg
ST,250.4,ST,44.6,ST,10.5,kg
ST,258.4,US,18.3,ST,2.2,kg
ST,236.5,ST,32.9,ST,3.8,kg
ST,285.1,ST,26.7,ST,4.3,kg
ST,224.4,ST,49.5,US,12.2,kg
ST,324.9,ST,13.0,US,2.3,kg
ST,288.8,ST,16.2,ST,12.8,kg
