status_muestra,peso_muestra,status_mineral,peso_mineral,status_vegetal,peso_vegetal,unit
US,208.5,ST,44.7,US,38.8,kg
US,266.0,ST,42.7,US,18.6,kg
US,247.6,ST,54.3,ST,14.0,kg
ST,311.6,US,46.7,US,10.7,kg
ST,300.0,ST,93.8,ST,13.8,kg
ST,299.9,US,117.2,ST,11.1,kg
ST,264.5,ST,113.0,US,19.6,kg
ST,243.3,ST,72.0,ST,25.8,kg
ST,344.8,ST,51.3,ST,36.5,kg
US,306.4,ST,93.3,ST,49.0,kg
US,326.9,ST,79.7,ST,14.9,kg
ST,206.4,ST,85.7,ST,30.5,kg
ST,290.1,US,111.8,ST,27.8,kg
ST,250.2,US,44.5,ST,33.3,kg
ST,253.2,ST,114.2,ST,31.4,kg
US,216.2,ST,88.8,US,17.6,kg
ST,332.1,ST,37.9,ST,33.7,kg
ST,249.0,US,83.3,ST,28.9,kg
ST,248.1,ST,38.2,US,49.2,kg
US,211.0,US,116.6,ST,13.5,kg
ST,291.1,US,79.9,US,29.4,kg
US,236.0,ST,50.4,ST,44.9,kg
ST,223.4,ST,63.9,ST,46.3,kg
US,250.6,ST,98.3,US,42.5,kg
ST,346.2,ST,32.9,US,41.1,kg
US,332.9,ST,46.4,ST,45.0,kg
ST,302.0,ST,64.6,ST,20.3,kg
US,235.0,ST,84.6,ST,49.7,kg
ST,206.8,ST,56.0,US,19.5,kg
US,259.9,ST,82.0,ST,23.5,kg
ST,326.7,ST,106.0,US,12.6,kg
US,204.7,US,79.0,US,43.7,kg
ST,259.3,US,99.4,ST,23.4,kg
US,276.9,US,107.2,US,44.1,kg
ST,210.2,ST,119.3,US,17.0,kg
ST,322.0,US,79.7,ST,22.6,kg
US,338.6,ST,79.2,ST,47.3,kg
ST,255.3,ST,107.2,US,27.2,kg
ST,319.5,ST,89.0,US,23.8,kg
ST,202.0,ST,94.0,ST,49.0,kg
ST,202.1,ST,93.1,ST,27.2,kg
US,216.2,US,119.6,US,37.1,kg
ST,339.7,ST,55.2,ST,34.3,kg
ST,218.0,US,114.6,US,16.7,kg
ST,221.5,US,38.9,ST,36.5,kg
US,282.8,ST,110.5,US,24.9,kg
ST,336.5,US,49.0,US,45.0,kg
ST,230.4,US,80.2,ST,37.1,kg
ST,306.2,ST,84.9,US,12.1,kg
US,216.9,ST,101.2,US,13.9,kg
