status_muestra,peso_muestra,status_mineral,peso_mineral,status_vegetal,peso_vegetal,unit
US,236.7,US,113.0,ST,25.6,kg
ST,206.3,ST,260.2,US,7.3,kg
ST,333.0,ST,101.7,ST,30.0,kg
US,303.2,ST,26.7,ST,2.9,kg
ST,193.5,ST,27.4,ST,21.9,kg
US,196.8,ST,71.3,ST,27.0,kg
ST,343.1,US,26.0,US,20.5,kg
ST,239.3,ST,25.6,ST,1.0,kg
ST,335.8,ST,22.8,ST,17.9,kg
US,270.0,ST,104.7,ST,28.7,kg
ST,199.1,ST,237.4,US,13.8,kg
ST,191.2,US,58.1,ST,19.0,kg
ST,307.3,US,72.3,US,13.3,kg
US,313.6,ST,77.5,ST,26.5,kg
ST,238.0,ST,15.7,US,21.7,kg
ST,195.9,ST,41.1,ST,21.0,kg
ST,255.4,US,76.9,US,26.3,kg
ST,337.7,ST,33.2,ST,13.2,kg
ST,284.1,ST,26.9,ST,23.9,kg
ST,188.1,ST,116.7,US,9.0,kg
ST,331.8,ST,70.5,ST,27.6,kg
ST,339.5,ST,61.4,US,8.6,kg
ST,224.7,ST,72.7,ST,13.0,kg
US,224.4,ST,50.9,US,26.6,kg
ST,261.0,ST,65.8,ST,10.5,kg
ST,286.5,ST,53.1,ST,6.9,kg
ST,293.5,ST,15.9,US,22.8,kg
ST,311.1,ST,33.2,ST,5.0,kg
ST,212.4,US,91.6,US,12.5,kg
ST,249.9,ST,30.0,US,14.4,kg
ST,319.3,US,15.4,US,5.2,kg
ST,206.9,ST,23.7,ST,7.9,kg
ST,319.5,ST,104.9,ST,9.4,kg
US,290.2,US,61.6,ST,23.1,kg
ST,299.1,ST,67.3,ST,16.8,kg
ST,294.4,ST,53.8,ST,20.2,kg
ST,212.6,ST,91.3,ST,23.9,kg
US,256.2,ST,116.1,ST,6.7,kg
US,193.0,ST,209.3,ST,6.1,kg
ST,315.7,US,62.6,ST,23.7,kg
ST,198.2,ST,41.7,ST,28.0,kg
ST,244.1,US,115.6,ST,23.5,kg
ST,205.6,ST,253.3,US,3.9,kg
ST,259.7,US,12.5,ST,47.3,kg
ST,253.2,ST,294.4,ST,29.4,kg
ST,200.1,US,55.5,ST,17.1,kg
ST,330.4,ST,60.6,ST,9.1,kg
ST,207.6,US,51.1,ST,6.7,kg
ST,333.4,ST,11.0,ST,26.2,kg
ST,276.5,ST,66.6,ST,1.4,kg
