status_muestra,peso_muestra,status_mineral,peso_mineral,status_vegetal,peso_vegetal,unit
ST,199.2,US,179.6,ST,26.8,kg
ST,379.7,US,273.2,ST,77.8,kg
ST,353.8,US,147.9,ST,4.9,kg
ST,161.4,ST,283.5,US,28.3,kg
ST,243.3,ST,135.3,ST,8.6,kg
US,290.8,US,15.3,ST,50.1,kg
ST,204.0,ST,174.1,ST,95.4,kg
ST,178.9,ST,37.5,ST,82.4,kg
ST,380.6,ST,240.0,ST,80.7,kg
ST,171.3,ST,176.8,US,67.7,kg
ST,219.4,US,219.9,ST,15.1,kg
US,301.3,ST,262.9,ST,53.2,kg
US,352.2,ST,66.2,ST,3.3,kg
US,308.5,ST,67.0,US,74.9,kg
ST,332.1,ST,288.0,US,66.5,kg
ST,318.4,US,277.9,US,16.5,kg
US,392.3,ST,183.8,ST,55.4,kg
ST,362.3,US,293.9,ST,4.9,kg
ST,354.5,ST,230.5,ST,58.7,kg
ST,384.1,ST,277.4,US,49.2,kg
ST,235.0,ST,193.4,ST,17.4,kg
ST,261.4,ST,28.3,ST,80.8,kg
ST,324.7,ST,121.6,ST,48.4,kg
ST,240.4,ST,82.7,US,5.5,kg
ST,285.2,ST,150.9,ST,54.9,kg
ST,214.1,ST,146.5,ST,55.8,kg
ST,323.8,ST,218.9,ST,32.6,kg
US,180.4,ST,8.6,US,57.5,kg
ST,180.9,ST,93.0,ST,23.5,kg
ST,332.4,US,125.2,ST,80.9,kg
US,231.7,ST,205.7,ST,38.3,kg
ST,169.1,ST,24.2,ST,31.2,kg
US,239.9,US,162.1,ST,63.9,kg
ST,153.1,ST,164.3,ST,97.5,kg
US,163.0,ST,12.8,ST,64.3,kg
US,231.4,ST,115.7,US,97.4,kg
ST,324.7,ST,111.7,ST,22.2,kg
ST,360.7,US,274.5,US,92.6,kg
US,268.8,ST,142.0,ST,86.4,kg
ST,210.2,US,256.7,ST,35.9,kg
ST,186.4,ST,70.9,ST,99.1,kg
ST,190.9,US,6.7,US,18.5,kg
ST,175.6,US,75.9,ST,35.3,kg
ST,292.8,ST,111.7,ST,21.1,kg
ST,153.7,ST,158.6,ST,46.2,kg
ST,339.9,ST,104.3,ST,34.0,kg
ST,356.8,ST,259.2,US,1.9,kg
ST,229.9,US,183.1,ST,78.9,kg
ST,189.3,ST,53.9,ST,72.6,kg
ST,186.7,ST,165.2,US,85.2,kg
